"V1","V2","V3"
1,1,1.05
1,2,6
1,3,4
1,4,8.8
1,5,11.4
1,6,13.7
1,7,41.8
1,8,34.1
1,9,25
1,10,33.8
1,11,19
1,12,8.1
1,13,11.2
1,14,36.4
1,15,50.2
1,16,46.7
1,17,52.9
1,18,43.9
1,19,54.6
1,20,48.4
1,21,45.7
1,22,50.4
1,23,37.5
1,24,33.1
2,1,6
2,2,1.05
2,3,10
2,4,14.8
2,5,18.3
2,6,7.7
2,7,35.8
2,8,28.1
2,9,31.9
2,10,38.4
2,11,25
2,12,14.1
2,13,17.2
2,14,42.4
2,15,54.8
2,16,40.7
2,17,50.2
2,18,37.9
2,19,57.7
2,20,42.4
2,21,51.7
2,22,52.5
2,23,43.5
2,24,39.1
3,1,4
3,2,10
3,3,1.05
3,4,4.8
3,5,7.4
3,6,17.4
3,7,45.5
3,8,37.8
3,9,21
3,10,29.8
3,11,15
3,12,4.1
3,13,7.2
3,14,32.4
3,15,46.2
3,16,54.7
3,17,48.9
3,18,58
3,19,50.6
3,20,52.3
3,21,41.7
3,22,46.4
3,23,33.5
3,24,29.1
4,1,8.8
4,2,14.8
4,3,4.8
4,4,1.05
4,5,2.6
4,6,12.6
4,7,40.7
4,8,33
4,9,16.2
4,10,25
4,11,10.2
4,12,8.9
4,13,12
4,14,27.6
4,15,41.4
4,16,49.9
4,17,44.1
4,18,53.2
4,19,45.8
4,20,57.3
4,21,46.5
4,22,51.2
4,23,36.9
4,24,33.9
5,1,11.4
5,2,17.5
5,3,7.4
5,4,2.6
5,5,1.05
5,6,10
5,7,38.1
5,8,30.4
5,9,13.6
5,10,20.1
5,11,12.8
5,12,11.5
5,13,14.6
5,14,30.2
5,15,36.5
5,16,43
5,17,39.2
5,18,40.2
5,19,40.9
5,20,44.7
5,21,51.6
5,22,46.3
5,23,39.5
5,24,36.5
6,1,13.5
6,2,7.5
6,3,17.5
6,4,13.2
6,5,10.6
6,6,1.05
6,7,28.1
6,8,20.4
6,9,24.2
6,10,30.7
6,11,23.4
6,12,21.6
6,13,24.7
6,14,40.8
6,15,47.1
6,16,33
6,17,42.5
6,18,30.2
6,19,50
6,20,34.7
6,21,45
6,22,44.8
6,23,50.1
6,24,46.6
7,1,39
7,2,33
7,3,43
7,4,38.7
7,5,36.1
7,6,25.5
7,7,1.05
7,8,7.7
7,9,28.6
7,10,30.3
7,11,45.3
7,12,59.4
7,13,53.1
7,14,38
7,15,22.6
7,16,5.4
7,17,14.9
7,18,2.1
7,19,18.1
7,20,6.6
7,21,16.9
7,22,16.7
7,23,31.5
7,24,30.6
8,1,31.3
8,2,25.3
8,3,35.3
8,4,31
8,5,28.4
8,6,17.8
8,7,7.7
8,8,1.05
8,9,20.9
8,10,27.4
8,11,42.4
